756954722251022V95KJ8PT59809230828W	9049E30K7ZZ2019-05-31619168006M	3291892019-05-312017-06-190
012123354371912S24CJ4UQ37178585808G	1847C48B7ZZ2017-03-02855075272X	3998552017-03-022019-08-127
799651962647213H83QG8GS27775683029F	9762U38B8ZZ2019-01-05328073967Y	3748812019-01-052019-04-042
435385938680606K10CH8YB74185930208Q	6086H68Q0ZZ2019-09-07828880020A	3382272019-09-072017-08-054
921536038042076A52TV9PH98085375303F	3359R71S3ZZ2017-06-25228732175W	3692902017-06-252019-09-278
466728621349894J57CA3NO66045884284I	5163Q72T2ZZ2019-05-28150707112V	3745572019-05-282017-01-158
464689319969791U84NR3HP19199165245H	1909Z77I6ZZ2018-11-22782399387R	3195972018-11-222017-01-278
034196432054253V22OL9IY03330997008J	8781K20M2ZZ2018-02-08866267299Z	3698992018-02-082019-05-180
759111397273178Y97FE6NS97665496584R	1690P10E2ZZ2016-09-17553680613M	3156532016-09-172017-04-298
238893299822829X17DM4UH04831753428G	6350P36U3ZZ2016-06-02539261405I	3975082016-06-022017-03-157
880382255259815X55UZ2ME16950819588K	4143K65U4ZZ2016-06-14764518221K	3544962016-06-142017-05-123
442332091057399Y01UV8AO61976534042L	1743X65F0ZZ2018-07-31679647583Q	3183872018-07-312017-12-250
885821322669181O79YX2RZ71351445336G	2107F39O4ZZ2019-11-17748047317N	3183732019-11-172019-12-213
256062260880569M37VY3AF52153925909B	2349J61K8ZZ2019-06-19335989125Y	3311402019-06-192019-08-162
835040873880333L04JY8MB63570141196S	6372Y51D5ZZ2019-01-13326060338W	3118252019-01-132017-04-080
993859605158620L17PH2MW06250411065X	6811B47F0ZZ2018-11-20719989027T	3880752018-11-202019-10-097
631765347489257Y19IZ3MT32722322284J	3496V86T5ZZ2019-08-15484844168G	3763962019-08-152018-05-310
019650764287549P77JC6AO32078142727C	4804L36G6ZZ2019-05-15053319950Q	3768442019-05-152017-03-200
137846243221269J71RU2LU90753759213D	9755I36E3ZZ2018-04-14178928549Z	3624392018-04-142018-08-194
916739152185851V06UR2FW24422007899G	8546G12G3ZZ2017-09-06347147354I	3307922017-09-062019-11-037
129344243330910E30LR0LJ67800408057A	4826U28G7ZZ2018-05-08751133209G	3605332018-05-082017-02-243
948138218379442G01KI4WT70270417050O	5634Z03I9ZZ2016-02-19369415364S	3151052016-02-192019-03-066
547236921361634O60QF0WI87946131301K	0098A39D0ZZ2016-12-19276380177D	3224382016-12-192019-02-137
161822909926536K80CL5HQ30699455814C	8395V94S0ZZ2016-04-05276966893M	3775872016-04-052019-08-038
855862194520133E95YV9CI75118212720W	0169D83C7ZZ2016-02-01920291830E	3526942016-02-012018-07-229
023850305898000H72VD1PO16102309198O	3177K35A1ZZ2016-04-27175940686Y	3100842016-04-272017-07-016
135926771560132X26NY9FK71347882017N	0442C77I5ZZ2018-04-12993971920C	3513802018-04-122019-01-161
423948646826258P69GP8EU33525366540S	2160Y98E7ZZ2016-11-30886291151L	3812992016-11-302017-03-035
702554199641034G06GY6FL48607166305M	3832N17G6ZZ2017-05-02920999090R	3903132017-05-022017-03-053
976214796302728E35ZO1AH05913080802S	2792M46Q8ZZ2016-08-30060070335L	3860452016-08-302018-01-112
138122197685143G94QA6AJ32781555306S	5861O93P1ZZ2017-02-18576521874G	3694712017-02-182018-10-305
047723939047534K57QB4ZH32831815522Q	0740V33Y5ZZ2017-12-23561358396R	3505442017-12-232018-11-087
374500053883607A78KC3AX71500091230K	9723R81Q8ZZ2016-06-07901033134Q	3477492016-06-072019-10-299
714937551659547F12SV4IN83991490608V	1460M98I3ZZ2019-03-20765777167D	3160972019-03-202019-09-026
875441615621263K93KX2VA43815369579P	7513T36S0ZZ2017-10-08310544396D	3726072017-10-082017-03-050
046449504694683L84HJ1KY88949259468L	9343F47P1ZZ2017-07-25922127480S	3982492017-07-252017-11-227
538322807343175K14IP5NZ75318709762Q	3980E10B9ZZ2019-10-26695624486N	3761212019-10-262019-12-053
890330927517822Q80CK8UB90613498103H	7662F92M5ZZ2016-12-05394908984N	3675772016-12-052019-07-075
132958161202053U64GV4YW32988688068T	9094R89I8ZZ2018-08-05747860635F	3916842018-08-052017-08-155
549210039637088N36RG1NX43660861494H	7168J65N6ZZ2018-12-18044910482J	3795462018-12-182017-06-137
767874522076940Z77SF8IB54341695753J	4498L19V0ZZ2017-11-22303289484G	3173062017-11-222019-03-067
324583309691703H84NO3PA14898091843P	6828T07T1ZZ2018-12-04238242258A	3767812018-12-042017-07-080
534700786117375Q00DX5IP60451698505V	2485Q17V7ZZ2017-06-29369053133S	3640482017-06-292019-01-250
646484431279588K09HY0LJ02479783142V	5077R96A2ZZ2017-03-21476644018U	3919672017-03-212017-08-246
431623134365797I22HM4WL64356478914L	2319I12O5ZZ2016-04-06729628240M	3484572016-04-062017-11-206
898059134735146B97OT8DC72054203130T	1878X81N6ZZ2019-06-15766316172O	3922292019-06-152018-03-114
654873045377104V82SM1FK28478417498P	0078Z13V1ZZ2019-05-07033473662C	3906182019-05-072019-10-140
679434302473032J60LW5DS54115329631W	4868P10D2ZZ2016-08-08327472515X	3586682016-08-082019-02-028
211080046078653D15KL5AW19324716866K	5275J11U3ZZ2017-04-13779114923I	3540892017-04-132019-08-096
183106035331493K21ZJ3SM48236737279D	6757H48N2ZZ2017-04-19443418706E	3923802017-04-192018-02-194
335047159425376G16RK2BO24079316841B	1253E30X2ZZ2018-02-26587073246J	3123452018-02-262018-03-115
500258827536762S47WF1LY09407683308D	3688W91Y5ZZ2016-02-08736925144Z	3795942016-02-082017-12-028
764432566201915X66FT0IZ09659254687U	6177G59R9ZZ2017-05-09298959979T	3997052017-05-092017-08-266
038358915190239W57GX5SQ32785876131Z	8870T81C5ZZ2017-12-10580922611X	3348982017-12-102019-09-257
362332143644262S95EX3RI84043864106R	0903U09Z7ZZ2016-05-15185517111M	3989282016-05-152017-01-151
245865933920414N44HG4JD03817415499P	6889J48N8ZZ2016-02-26067444996R	3680042016-02-262018-05-094
162085602037561R27HX5GR72837625722M	3076V36U9ZZ2018-11-12429037595Z	3742212018-11-122019-09-154
920528358022244I40NT3VN34320966593U	4960S28L6ZZ2018-01-22239155521B	3587072018-01-222017-11-030
971445137811705W93OZ6RL71393752188Q	9316Z02X6ZZ2019-01-05393287992L	3950672019-01-052018-08-255
322718651259770Y09ZP2RU65596072508U	5375F50F2ZZ2018-10-11176230978P	3880872018-10-112018-07-128
970602928766602U64MZ2HW54747164560P	7648Q57R3ZZ2019-07-08930295557O	3740902019-07-082017-03-314
735992362563076E46ZI3UC20654744269I	9747N46S8ZZ2016-09-18778841228B	3246552016-09-182019-02-098
060720727923589U01BW9MB91444552536L	3726U93B3ZZ2016-11-08206290083Y	3539072016-11-082017-02-209
178804930764119W74MC6KD63809250719K	1299Z85O8ZZ2017-05-06563312208K	3241262017-05-062018-11-281
232218499204206T27AE9ZF05958749558P	4501W17S7ZZ2017-08-09373441141H	3333982017-08-092018-10-149
214796398282854T33PF3DG53733787056L	1210X39C6ZZ2016-01-11012008482F	3445852016-01-112018-09-059
667841879769330U24EI0PA37446625624U	0736M52F2ZZ2019-12-12321244033T	3970352019-12-122017-06-076
213204020195632O57NX2QL13896167986N	0128F62T3ZZ2018-04-07342458122N	3691822018-04-072019-11-150
064243123543174O77JW7WM09042363584K	1182X72O4ZZ2017-07-13434458181B	3139202017-07-132018-05-101
156406441853440J49VI1AG69713250015Z	4027I98B9ZZ2018-08-20907897477C	3353812018-08-202019-07-158
299411344383365M45NP3PU02267471018K	5031D69Y2ZZ2016-02-29367879100X	3608692016-02-292018-02-141
614679458210528B59AC1LM95856026656E	8801A65W4ZZ2016-03-15684989892N	3495042016-03-152018-08-047
201595994359256I54SO4AE04549174530H	4778G64T3ZZ2016-05-14200847412C	3971952016-05-142018-04-230
183017764448327C21LI4HC98191246416H	6802Y59M4ZZ2019-12-22968494955N	3733652019-12-222019-07-085
032477807011976E37CB7KD22183405220J	9259N36O0ZZ2016-10-08722082848J	3378332016-10-082017-11-269
703694793281753G64KT2UF81503654883U	1044P97O5ZZ2016-02-25378725135C	3768242016-02-252018-08-158
044685413183938M24VK8RT22650910126G	1387B64P9ZZ2018-10-06304647941Z	3965862018-10-062018-12-071
072052502236180Y01SW5PX93145175448H	6910F11Q2ZZ2019-04-28794498687G	3113092019-04-282019-12-208
287320501445086Q83YM9DR95285668431A	9081S61O5ZZ2017-12-05482421636P	3609942017-12-052019-09-177
221081485623075J60RU2DV03137937464T	3757U11Z5ZZ2017-03-03703215846E	3418102017-03-032018-09-067
309104092647142L58WZ7SI24659476004Y	8790L87U0ZZ2018-12-24707275393L	3867172018-12-242017-01-197
415631401863082D30LC3TH75569435207C	9862V97B3ZZ2019-04-17699618582N	3484042019-04-172018-10-091
004629670257370D59PR8PD44191030375T	4895L26N7ZZ2018-07-22918020435B	3178342018-07-222019-05-015
653189848225281K96EM6RB43535851874V	6195P06C8ZZ2018-01-03117583786J	3167012018-01-032019-02-119
140127886418408S40QH2AJ57176111193R	1863C48G6ZZ2018-10-12991090581E	3715162018-10-122019-05-112
328419210899742X32CO2FY66821564678Y	6275V75M8ZZ2019-06-21470319747I	3117742019-06-212019-03-289
329943371528722I09YE8PY97336453544T	8600U71Q7ZZ2017-01-18725405933K	3851602017-01-182018-05-173
034726111934943E11ZF8BP17973546326J	5103C56G5ZZ2017-01-10828010243W	3973102017-01-102018-07-196
064486122204800B00TX6NA27819016094C	8188I32U8ZZ2019-04-05396155042O	3885642019-04-052017-03-050
006821711850509B33EB1JL09948071927C	5705D04J2ZZ2017-11-26320080102I	3938162017-11-262019-06-077
539385711658053J43PI4BT03848334519H	8579Y28S8ZZ2017-11-05432840584D	3885692017-11-052019-07-028
980103961199187K15XR6KO62769606960K	3047S25L0ZZ2018-07-16847849828K	3885582018-07-162017-09-114
541916251895885X75UQ7AB55752225053H	9060I64F0ZZ2018-12-14820298911R	3433162018-12-142019-11-051
558222725337131E80KD8XR66908058663T	9850F36F2ZZ2016-09-26417952086Q	3978552016-09-262017-09-073
048641471131542W30DK9NS96808738757K	5339C54E5ZZ2017-05-09834878217A	3440322017-05-092017-09-118
644262743211004N67TU0NT55613996626X	9334T61G2ZZ2018-04-14068867021D	3993392018-04-142017-07-120
131958821396414X38QW7GV38297775889T	6045R88X6ZZ2018-01-03019607425G	3347302018-01-032017-12-024
318329308591330F34XR8IH52970677913X	3378T43S1ZZ2018-07-13715602981M	3308752018-07-132017-09-132
466954820416436W88MB6GA77560547538D	5458Q65X1ZZ2019-10-25301046356D	3725702019-10-252018-10-306
605573593840763G88AO2QY66631761593X	3272T48K1ZZ2019-06-23295981775Y	3354462019-06-232019-01-113
800259478218241I99IB6US80084281440G	2272U85M1ZZ2018-06-21114301703P	3927302018-06-212019-12-228
381416339109748O10XA5IQ24011303394L	3956P62S2ZZ2018-02-23607597021B	3803682018-02-232019-08-154
075090174720844M98VR0HW01057671995J	9965Q50P6ZZ2018-07-14152497920D	3237582018-07-142018-09-303
508450590552654M83PG9NZ64245613594N	0726Y69O0ZZ2018-05-30040716040U	3860502018-05-302019-06-017
330645726298956X40UN4TP66100474127M	0376G63S8ZZ2019-11-09916868196J	3445822019-11-092019-10-133
759842157189261N96KL0RM14950969146L	6009S65Z0ZZ2016-12-07909844949N	3161362016-12-072018-06-279
486354657762860Y86TC9GO55614114772L	3363A33U4ZZ2019-01-06543663044H	3802502019-01-062017-09-240
619626450482981W98DT7MJ40938804941W	9602X26F1ZZ2018-01-15509794809K	3816812018-01-152019-09-098
698030384870350D04HU4QX55410983515M	7329A15P9ZZ2017-11-11840389012E	3463202017-11-112017-10-132
155768088258622X73TI7XG49508855050T	2267S50C6ZZ2019-12-11901131785P	3913462019-12-112018-01-056
528232139147687W36LH4LI87218205360E	9388A85P0ZZ2018-12-18403607797A	3753122018-12-182017-09-228
810014301556986B04HF6ND96782313305A	5865R39Z2ZZ2019-11-14052407026Q	3281912019-11-142018-01-083
818625230113240Y69JG3HB12510367442L	2687J21M2ZZ2016-08-26309375803D	3694402016-08-262017-09-244
935363895493414V17ES0HW54644834133V	0859C38D4ZZ2017-10-22539991900D	3396162017-10-222018-12-265
103975663521541S90KE2DG92668269549V	6059K63U4ZZ2019-03-06297244003W	3596782019-03-062017-01-204
404976004562181N00RT7KC29470677799W	4627D95G9ZZ2018-09-24592552623R	3188832018-09-242019-01-238
464101160304233B23KB1GI62266246164Z	1709K83Z0ZZ2019-12-08541230921H	3924852019-12-082019-04-017
782044508995659T61DS6LC28994315826D	4258N03B5ZZ2017-09-29163277983P	3408392017-09-292017-08-034
280027131301028N02NU6DK40574778395I	1402F61X4ZZ2018-02-02719539210A	3335612018-02-022018-12-317
329110760146786B03AY1LB27375751259S	0521B10I7ZZ2017-01-21082697200O	3855382017-01-212018-02-045
845532123863299E31EW2XC09142543467W	3524F11P1ZZ2018-01-13484582837H	3341382018-01-132017-11-227
474263250220877V98KJ5DG46175177502H	1056R67R4ZZ2019-01-31153061638T	3735962019-01-312019-07-173
016608657955297F41QM5RO42942882364G	8414G29C2ZZ2019-08-10444132581O	3625922019-08-102019-07-204
726450542122358L28MV6ZK65337073863J	6269J62F9ZZ2017-08-21015250677S	3554792017-08-212019-05-230
638846562917188M80QJ3GU94924753920U	0546A09M6ZZ2016-11-25883985808R	3266262016-11-252019-06-049
599528842384181A10RY4MN70695501215F	4303O45N7ZZ2017-03-08411202370P	3723942017-03-082018-12-104
196210413626340A51YI6FV47147173357H	1016Y15Q0ZZ2019-06-27747178374T	3723512019-06-272017-10-118
724645887629040Y27OL0ME83388064222U	9827I64L2ZZ2018-05-02558788239E	3889742018-05-022019-05-197
698873793944726H52JQ1PA86697157485R	6565Z97B5ZZ2017-10-30819649760H	3810772017-10-302017-09-072
666332524010603S91MW3CV78193426541J	0375S25R2ZZ2018-07-13402638627X	3618772018-07-132019-01-172
818514466040950B36QC4ZV11319967529R	5440M77K0ZZ2016-06-23262876732Y	3511902016-06-232017-12-183
660595371084764J15XU3QX01775026456F	9439M64Z7ZZ2019-11-28718453600Z	3801122019-11-282018-01-115
559281590360869B15BR2KI94406014839R	1108A49K9ZZ2016-10-09333999110S	3658652016-10-092018-09-265
100555591143825B91PR0QN51010224337G	5778Q38V2ZZ2016-04-29385452266H	3246542016-04-292018-11-096
417173311563314X88LW6IB27163889393M	4142E17V6ZZ2019-12-18932710341L	3909622019-12-182019-01-256
310954219801008H37TR9OL86228311648H	8756L06W3ZZ2018-05-18759015595K	3775482018-05-182017-10-165
528544939431286M25DB1NI80146901916Q	5066J15Y4ZZ2016-03-29275522096F	3123262016-03-292017-10-011
674397238813096A88SR1DC03879679069Q	8722W58I1ZZ2016-08-17817841246M	3141282016-08-172019-04-145
172765341456789R53AJ9GU32066798922C	0276R35S0ZZ2017-03-24140646478K	3102962017-03-242019-08-054
172584013968909T16TV6AG01170949672J	3726Q42N1ZZ2020-01-01385909158O	3351002020-01-012018-01-042
812583994144041K04MN9OJ88972770561A	0603U83I5ZZ2017-07-04247178032D	3890572017-07-042018-04-086
885528789452013P85UF6RE65706495203S	2285I00L2ZZ2016-12-09950068829V	3990652016-12-092017-11-058
424402674766537O10BG9GB82576533048A	9940Z16R3ZZ2017-03-03747168777V	3714662017-03-032017-08-062
080121114421333R40OA9VI45736391429O	7880E34V2ZZ2017-02-18852434274B	3838772017-02-182017-03-137
189296263022762D04CR3CW22038635158K	5554M49T6ZZ2018-01-20850296374C	3334732018-01-202018-05-198
659401554558807Q56AU9AZ95257100784X	5341J44T0ZZ2019-08-27408017443T	3157302019-08-272017-12-191
702383759486249G61WX6XB71603441521A	9104E21O6ZZ2017-03-28859699579A	3230272017-03-282018-11-300
710544036107718Z09LZ1IF89712295398X	1101F65C5ZZ2016-03-24602148711G	3321672016-03-242017-02-174
902657920254089E84OH4DF12412806194H	0642O78S3ZZ2017-12-18417903009S	3473142017-12-182019-04-099
264214378093720S07GD9GO83958401593J	6517S80H8ZZ2020-01-08317101078J	3252412020-01-082017-05-271
128537455147871Y03CU4LA41943531489T	2103T58I8ZZ2016-11-01977001443T	3904542016-11-012018-01-272
353336687100397A83SW6IB91100547170T	9308V57C1ZZ2016-03-24900415512F	3562392016-03-242017-10-163
315118622925357K91KB5EK69936204605I	9091U13U1ZZ2017-08-27457290217N	3805012017-08-272017-04-169
574991151113106B47YP0NF95328694672C	3197Y62X3ZZ2017-04-22330786009B	3638602017-04-222017-05-106
363749446188610Q63FX5MY67481198927I	9328E31N5ZZ2018-08-07611248371L	3872612018-08-072017-09-147
169558525081930M70MF7QS18697781321S	7579U26F5ZZ2019-02-22749279225R	3860672019-02-222018-02-040
170467453901516O73WC1LX64584015854K	5514Y04B7ZZ2018-06-30193656984C	3583252018-06-302018-06-073
127998972714568X94PD7HG64562233938B	7376J18L4ZZ2019-10-20848806513U	3458842019-10-202017-10-270
699577624923863D66IV6XF25624283481O	9250G03K0ZZ2016-09-27866146896F	3665352016-09-272019-12-298
693190012323456E45AB4UZ07340244247I	0972A64N7ZZ2019-05-09101563861B	3870582019-05-092019-07-089
056910884914710A79MI9GM27169815702C	0052T80D8ZZ2016-11-28355890939Q	3336992016-11-282017-09-085
431227018499025P61AU9GZ16408233347L	3513O02Q1ZZ2018-09-28080572955E	3641142018-09-282017-10-049
778584594966549T76LO2CX61267434960P	8968S48X5ZZ2017-05-11208378635W	3351482017-05-112017-04-241
635508453363951I62RX7WB67770765437D	6674G44T6ZZ2018-12-07134898280M	3812092018-12-072018-09-177
197318443857252W62VM3VY17625319125R	3103M83L9ZZ2019-02-05164200470D	3444652019-02-052018-06-040
752088590108159D22ZH3JN38716618450I	0248P31X4ZZ2018-11-19207777018B	3347932018-11-192017-03-123
735256712206550Z91EX7CT39878526492W	7157B49C2ZZ2017-11-27380680103V	3565162017-11-272019-07-268
483925047551175V97DZ2ET14582490303F	9318P24Y8ZZ2018-04-05920365336A	3473132018-04-052019-12-119
949774641050274Y47MI3KW88745596500Z	1217F49L8ZZ2018-12-29094333832N	3401042018-12-292017-03-219
393119883948526A79TS1NV20080029128T	8687O32O7ZZ2017-03-01645511494Y	3268792017-03-012017-09-093
090202561203169M67BH7YP38346192442X	8626E74R1ZZ2019-10-31826705081Z	3563072019-10-312018-04-279
788764325389476U27CS4KM04647662265I	5187B61N9ZZ2016-05-11639667401B	3839632016-05-112019-02-168
885737442380513I23KB2KB60534526524A	6019I08D5ZZ2019-04-06074943616C	3186802019-04-062018-02-131
965068749232042F63GH2IM92849730627G	8286F32W7ZZ2017-03-10300061331E	3223042017-03-102018-05-066
471746043951647I22ZQ5MH15198399712N	1742D77J2ZZ2016-12-20426511534I	3216812016-12-202017-04-141
155494712838591Y04QT2QP84241790942T	0918L81Z6ZZ2020-01-02812448525O	3948222020-01-022018-04-241
076650337821952P24RX4FL87091878239T	2989E38Z1ZZ2018-02-12458189762Q	3895472018-02-122019-02-286
504549513674783V85NQ3LF36956080994O	0039X48K9ZZ2017-04-16073859889V	3878752017-04-162018-06-183
801426871378955J63IT8OE95695174426Y	4571C45M1ZZ2019-03-31155056393N	3868972019-03-312017-01-213
877996368172606F55AF5UL88514158749W	8772A64C8ZZ2019-07-31097012039T	3122112019-07-312018-02-221
507531245535542T34SD1VI15703984349P	9628K73G0ZZ2018-06-24444142949U	3626242018-06-242017-01-163
219787003954808Z77NX0YO18641009608P	5672S78K6ZZ2017-10-26295950062E	3744562017-10-262019-02-183
894343875182174L87FK5FT27233002665D	8776Y63Y5ZZ2018-11-03296673324O	3557592018-11-032019-04-119
498697654935082B02CH6RB14139667697E	2311R61F3ZZ2016-06-11383785723D	3552702016-06-112017-05-121
369332530863975G25OI3ZX44006764910D	1704D01O6ZZ2016-02-11370765055V	3984802016-02-112020-01-059
283418928587173Q14SY0YQ87120708740X	7782G75C7ZZ2019-02-25419467014S	3820602019-02-252017-10-132
782182403913163W47UJ5ZV14535322167X	4848A49B3ZZ2019-04-11158337649C	3383032019-04-112017-01-156
411630748041175N16AY2AY41076417955S	5356Y32Q1ZZ2017-07-26429005075B	3887682017-07-262017-04-219
898029510240898H38ZA9VB23222928208F	9423Y56M9ZZ2017-04-19877272717K	3621412017-04-192019-08-220
034284629613779R69BX4WP44566413028Y	9716O95H0ZZ2019-10-24013356440C	3555672019-10-242019-01-133
623090622180389Z16SJ9RJ86586184077D	1589G74R9ZZ2017-08-12908473193X	3573722017-08-122017-08-118
645429270684100W84HC7OV79006861469O	7320P05Y8ZZ2016-01-24255858773I	3416032016-01-242017-07-022
301427540130861K90IK5NM01256983324V	1340V78S9ZZ2018-04-25936698337Y	3329912018-04-252017-05-029
665758644643987N19XE4PC02124742427H	5465F67X8ZZ2016-05-17435895447C	3477182016-05-172018-10-319
362858641540581U87VK9EH76147397589G	2576U30V8ZZ2016-06-08080896426R	3635192016-06-082019-04-059
523617295169230S76HZ6GO81140455465H	9209G79W1ZZ2018-05-05277733796Q	3800262018-05-052019-10-017
993245057647449C69DR9XP47428053132G	0665S35H3ZZ2017-01-11375269586O	3442432017-01-112017-03-030
144001449136308Z56OC8YU34599422078O	3106P59M2ZZ2019-12-31445235625Y	3733652019-12-312018-03-102
959875353077324O81HT0WB54494224581T	1636C04P2ZZ2016-09-03110858615H	3675412016-09-032018-10-228
272417331608414J50LX9BW95775929410B	2327L31N5ZZ2016-07-21827487266C	3196952016-07-212018-12-313
415867452054083F43FD7RG78297176401J	1628E52A8ZZ2019-10-24929463973A	3746372019-10-242018-08-159
743859042658850O08HS5VQ57173756567U	9329U70S6ZZ2019-08-10761900907W	3235812019-08-102017-05-071
373547694516702K11KE7JK31345851628Y	9376V82T4ZZ2019-10-05195052412S	3970302019-10-052018-05-215
263798602482922K76ED9DN09826700353O	4733I67H1ZZ2017-10-17456057503N	3235862017-10-172019-12-243
601674628693187N99JQ8IN08152122967P	3676H33S8ZZ2016-02-17869141837K	3100832016-02-172019-06-075
217336305414925Y96ZF9KM53178440253Z	4901F53Q9ZZ2019-08-06477793214K	3857712019-08-062018-03-270
693044637671856O61EH8RW28696931309S	5214I89Z5ZZ2019-11-12339527945O	3669832019-11-122019-07-139
562017553214214N46UF2NV34024585225H	9582G75A4ZZ2016-02-01707228989W	3276292016-02-012018-01-290
768275839502442I47OJ2ML61989384146Q	6779P23F7ZZ2017-10-11508407002F	3115952017-10-112019-07-237
087766397238316R92NL1UR20474437117R	0030Y67U5ZZ2019-04-29433837818C	3335082019-04-292019-03-244
847509469751984Z95YL5CX58724998682S	4277F44R5ZZ2017-06-22049376626D	3664392017-06-222017-08-252
970408142844917M31LG0AR63374808727E	4030P14W6ZZ2016-06-05563686754Z	3221352016-06-052019-11-092
252529131116317R94UM3KQ68142071455A	2311R61M8ZZ2017-07-08286325600P	3828252017-07-082018-06-205
266211968384918J44MI9OG12904758197A	0340Y51Z8ZZ2017-09-28596758896X	3991552017-09-282019-10-298
267659513113427K77RX8ZG83320987264O	1503V89C1ZZ2019-05-27700855740I	3856952019-05-272018-02-147
978201616868200A44VX8CG25418183662I	4111S97K4ZZ2017-02-24398552249N	3452992017-02-242018-03-240
080500635131487Z65UW5LE33272494567W	7931B20I4ZZ2016-09-13864889810Z	3180772016-09-132018-08-139
950914295176363F88HR3QW38734548602G	0539F11O6ZZ2017-02-28197712778C	3918402017-02-282019-09-125
700708346831830S29IN2RP68711423472R	2933T92I5ZZ2016-10-25425394367K	3301172016-10-252018-03-214
977391859945161R56VO2CJ06944850933X	0251F10M9ZZ2018-12-18752979565Y	3568562018-12-182017-10-226
604590678594948S44HG4XM81462893514F	2020B54E0ZZ2018-08-18249414140J	3557712018-08-182018-11-239
604030070875802G97YT0NW48918120883E	7550X85R6ZZ2019-10-30371331199P	3295472019-10-302019-09-057
286380277690792P70SR0OM06399990482B	2555M43N0ZZ2019-08-14128749049C	3818882019-08-142019-11-070
015936824968617J67ES3LW38205717847J	6042N44M3ZZ2017-01-10066244692Z	3442562017-01-102018-05-292
615544891123186B76ZR4AZ68893293792U	6685W49C4ZZ2017-06-05316989728R	3892822017-06-052019-11-215
713940515886651W96LG4PJ66706660106N	1770T98U2ZZ2016-06-10768753123T	3756902016-06-102019-05-163
066843427005010E69UJ4KF44394424957Q	9915H07K4ZZ2018-07-20987545312Q	3596922018-07-202019-04-228
683382802251866H43GD3BJ30585670258B	6263A19O0ZZ2016-05-03390059610U	3993672016-05-032019-12-154
561835242137289P84ZB7PQ34440814828P	8071H26D4ZZ2019-12-30973206934K	3299742019-12-302018-01-125
956953897355101H34HI1IB77876392690P	2427U70P0ZZ2017-05-17440860318T	3917662017-05-172018-07-083
689956559831248J40EJ1LX04830018193J	4777G77Q8ZZ2017-04-08667161279T	3379922017-04-082017-08-259
744639665187417R94VZ3ZT89656395983N	2512Z95U4ZZ2019-02-27090581051L	3748342019-02-272018-07-076
824538433669924Z20YQ5ET98899244985X	4786J80H6ZZ2019-12-28471864821F	3765232019-12-282019-10-211
130104073891349H54BL7GS38328799302V	2728T72N1ZZ2017-04-19627247176Y	3284912017-04-192019-03-032
233609869524738C24NH5EF23099117156A	0487G53G1ZZ2017-02-02493783072E	3628932017-02-022019-09-298
653374268383350T95GC0OZ55272002349S	5845F17S5ZZ2017-02-10617437728E	3984452017-02-102019-12-158
054001842268485Z01XI3BK35985033853D	1281Q97T9ZZ2019-03-14816916480X	3140952019-03-142019-01-178
888134849171582T15JV1JD56294998725F	9056Q78V3ZZ2018-11-24399342414R	3718932018-11-242018-05-273
602718026434885F25BH6WI92276956327X	1960B19W8ZZ2016-01-27386626402W	3731292016-01-272017-11-119
056136713034570G86SH3UM80504395945Y	3645B39F1ZZ2016-06-26616824117U	3892302016-06-262018-06-100
200200093696976M17CL8VW71659998043C	3550E30X5ZZ2017-12-16736842398D	3747442017-12-162017-05-122
216873808008398Z07IZ2RX88323130349S	0014L28R5ZZ2019-01-24522511267H	3121442019-01-242019-04-148
803887955844295N02FX2EA76769706360U	0242U61Q2ZZ2018-03-25449718852Q	3905892018-03-252018-01-315
836266966460947G65OY1KO36490845023F	5986B91C1ZZ2017-12-16205744559I	3895762017-12-162017-06-247
281856692104854G05NE5IQ63816273165U	2930A34E9ZZ2018-02-01920903639H	3636192018-02-012019-01-299
410938277226052X73YC8NE86245311434L	2570S98S0ZZ2017-11-22892837378H	3668672017-11-222019-05-011
429398007971697O79RS5XE96943796535R	7016C61J4ZZ2019-05-03489124951S	3753352019-05-032018-11-232
330525740323970D88UE0MC91920654641A	7056O38Q3ZZ2018-03-30960145994H	3667562018-03-302019-02-219
876059886800669X31CF2GK18957922192B	0174R38I3ZZ2018-05-31048317329J	3258832018-05-312019-05-129
054699778096780K56BX2JR49295904325P	5616F14I9ZZ2016-02-25267668812V	3356812016-02-252018-05-044
511566554104340N73AI8SU73934399582T	8573F63H9ZZ2018-01-03619833010C	3578842018-01-032017-09-081
382942271755750Z61UT0NV19673281603T	4374W51W1ZZ2018-10-01256374226O	3593522018-10-012017-04-113
606098893723297Y64SM8KT56823684878E	9251P18R4ZZ2017-11-18295199660K	3358602017-11-182018-06-294
766278956425514H78RO5ND00134659702M	2971T52R9ZZ2017-01-26817009044S	3729672017-01-262018-09-125
179780128393836D35XQ2TP15816346067I	5268J16D0ZZ2018-04-20026998140C	3855262018-04-202017-08-254
997983693713819T26RM9AX36741140807E	6795I29B5ZZ2016-09-22595318120Z	3715802016-09-222019-10-192
373586581195756T64LV5RH02960273009D	1008I65R7ZZ2019-04-17669644759K	3489712019-04-172017-08-063
970538559222258T57PH2IL56412346471P	7712K59E9ZZ2016-08-21275682799O	3562132016-08-212018-09-141
583077907024508N84PF5TO79030305894Y	7401E11D8ZZ2017-06-28778849638W	3207012017-06-282018-03-273
439700243280856X32NP3AI33334399277C	3034U45V8ZZ2018-08-20185716243T	3997082018-08-202019-10-054
